source,target,time,type
75793,69955,4,m
69667,79761,6,r
17533,65736,7,r
84824,74793,9,r
111054,81510,9,r
84824,74793,9,r
98635,76771,13,r
54483,81976,15,m
45329,81231,18,r
70321,74942,19,r
79878,91513,21,m
10572,74716,23,m
111399,81231,25,r
54529,78765,29,r
12695,75258,31,r
80427,59328,31,m
84509,59328,33,m
44810,88218,34,r
88221,86363,35,r
44186,84473,35,r
88123,58601,36,m
88123,85235,36,m
74078,56056,36,m
43695,75153,39,m
16657,87944,42,r
65295,79537,42,m
37540,74779,42,r
18734,78158,42,r
13695,49508,43,m
13695,8901,43,m
13695,110501,43,m
13695,77582,43,m
31537,86363,45,r
45890,87844,45,m
45890,7465,45,m
35346,76314,47,m
9308,79697,47,r
112207,81510,48,r
5314,81231,48,r
52733,88424,49,r
17533,105030,52,r
6285,81405,54,r
35059,79537,57,m
88427,21655,57,m
28229,74942,58,r
74394,574,59,m
23181,74942,64,m
23181,116758,64,m
23181,31537,64,m
51214,78765,69,r
10960,79761,70,r
16366,80612,72,m
18018,79761,75,r
91830,112264,76,r
37627,79662,76,r
73509,79385,76,r
73632,88693,79,r
77692,84419,81,m
12193,79761,83,r
70020,75860,84,m
90090,81231,86,r
14081,84419,86,m
25722,88654,90,r
62298,75153,91,m
78232,79385,92,r
61228,75829,93,r
68935,88167,93,r
63398,81510,94,r
75103,86881,97,r
25722,88654,98,r
79405,81510,100,r
79537,108595,100,m
43193,85103,100,r
86933,86881,102,r
47131,81405,103,r
47312,74567,104,r
74567,103265,104,m
68730,79850,107,m
89726,81510,107,r
78765,74107,112,m
78765,110148,112,m
3993,92894,115,r
24555,80499,115,r
76220,48472,116,m
76220,100678,116,m
76220,4340,116,m
76220,107865,116,m
76220,3318,116,m
7123,84657,116,r
114900,88430,116,m
76220,43105,116,m
56541,88654,119,r
24555,80499,122,r
78147,62431,123,m
80427,59328,126,m
17789,76446,126,m
104645,74614,127,r
24483,86980,127,r
104645,80641,128,r
104645,80039,128,r
68890,87475,128,r
104645,82687,128,r
86337,77993,128,r
64834,88405,128,r
104645,87279,129,r
104645,80039,129,r
68890,75120,129,r
86337,77993,129,r
28563,76314,129,m
94054,88250,129,r
107909,75890,129,r
104645,80679,129,r
64834,88405,129,r
104645,82687,129,r
86337,77946,129,r
104645,81281,129,r
104645,81281,130,r
104645,88067,130,r
104645,75629,130,r
104645,0,130,r
104645,74793,130,r
86337,77946,130,r
104645,80641,130,r
104645,84326,130,r
24555,80499,130,r
104645,84326,131,r
77589,87475,131,r
